Date Init; Date End; Duration; Comment
28/07/21 20:06:17; 28/07/21 20:06:22; 00:00:05; Será que eras isto?
28/07/21 20:08:24; 28/07/21 20:08:26; 00:00:02; balbalb
29/07/21 09:58:48; 29/07/21 12:07:39; 02:08:51; Apenas reuniões
29/07/21 14:52:46; 29/07/21 19:32:56; 04:40:10; Dia só de reuni
02/08/21 09:38:28; 02/08/21 12:46:06; 03:07:38; Apenas reunioessss
02/08/21 13:26:21; 02/08/21 17:30:37; 04:04:16; Só reunião tbm
03/08/21 09:26:26; 03/08/21 11:42:54; 02:16:28; Mais um turno de reuni
03/08/21 13:34:36; 03/08/21 13:35:10; 00:00:34; rm
03/08/21 13:54:25; 03/08/21 19:51:49; 05:57:24; Dev v2 importer and reunioes
04/08/21 09:34:34; 04/08/21 11:31:33; 01:56:59; planning hw
04/08/21 14:32:39; 04/08/21 17:42:52; 03:10:13; 
04/08/21 18:43:44; 04/08/21 19:51:52; 01:08:09; Reuniao celmer
05/08/21 14:13:00; 05/08/21 20:29:41; 06:16:41; v2TL e reuniao board
05/08/21 21:47:15; 06/08/21 00:33:53; 02:46:38; v2Telemetry
06/08/21 09:18:05; 06/08/21 14:39:19; 05:21:14; 
09/08/21 09:20:26; 09/08/21 11:31:35; 02:11:09; meetings
09/08/21 14:04:09; 09/08/21 17:04:27; 03:00:18; 
10/08/21 09:20:09; 09/08/21 11:47:27; 02:20:18; 
10/08/21 14:47:04; 10/08/21 17:14:52; 02:27:48; 
10/08/21 19:24:28; 10/08/21 21:40:38; 02:16:10; reuniao gui
11/08/21 10:37:26; 11/08/21 12:40:59; 02:03:33; meetinf dionata
11/08/21 14:53:58; 11/08/21 17:00:28; 02:02:30; quero quero
12/08/21 09:35:44; 12/08/21 12:05:45; 02:30:01; 
12/08/21 13:48:54; 12/08/21 21:39:45; 07:50:51; custom query timestream
16/08/21 09:47:07; 16/08/21 12:00:54; 02:10:47; 
16/08/21 14:02:10; 16/08/21 17:19:11; 03:17:02; reuniao slc e celmer lutando com o sql
17/08/21 10:01:26; 17/08/21 11:57:30; 6964; planning
17/08/21 15:00:01; 17/08/21 17:54:21; 10460; 
17/08/21 18:28:59; 17/08/21 19:04:41; 2142; 
18/08/21 13:18:11; 18/08/21 15:00:01; 6110; patente
18/08/21 15:24:47; 18/08/21 16:46:11; 4884; 
19/08/21 09:30:29; 19/08/21 12:00:34; 9000;
19/08/21 14:00:29; 19/08/21 16:31:34; 9000; 
19/08/21 16:49:17; 19/08/21 17:47:10; 3600; 
19/08/21 21:48:13; 19/08/21 22:56:45; 4112; analise grupo 2 qro qro isopor
20/08/21 09:32:48; 20/08/21 11:37:09; 7461; reuniao board
20/08/21 13:56:34; 20/08/21 18:43:17; 17143; 
23/08/21 13:59:43; 23/08/21 19:08:47; 18544; 
24/08/21 10:54:14; 24/08/21 12:11:09; 4616; 
24/08/21 13:53:46; 24/08/21 17:50:47; 14221; 
25/08/21 08:59:36; 25/08/21 12:32:36; 12780; 
25/08/21 14:02:02; 25/08/21 17:29:34; 12452; 
26/08/21 10:12:48; 26/08/21 12:48:31; 9343; 
26/08/21 14:36:54; 26/08/21 18:30:42; 13668; 
26/08/21 21:18:14; 26/08/21 22:14:19; 3365; 
27/08/21 10:11:51; 27/08/21 12:00:30; 6519; 
27/08/21 14:35:00; 27/08/21 17:13:29; 9509; 
30/08/21 09:59:11; 30/08/21 12:34:55; 9344; 
30/08/21 14:07:05; 30/08/21 16:42:01; 9296; 
30/08/21 20:57:41; 30/08/21 22:22:49; 5108;
31/08/21 09:29:11; 31/08/21 12:04:55; 9344; 
01/09/21 09:38:04; 01/09/21 12:17:02; 9538; 
01/09/21 15:23:23; 01/09/21 17:45:32; 8529; 
02/09/21 09:26:56; 02/09/21 11:04:43; 5867; 
02/09/21 14:49:08; 02/09/21 17:30:06; 9658; 
02/09/21 17:44:03; 02/09/21 18:00:34; 991; 
02/09/21 18:30:23; 02/09/21 20:23:19; 6776; 
03/09/21 09:17:15; 03/09/21 12:43:44; 12389; 
03/09/21 14:56:36; 03/09/21 16:08:32; 4316; 
06/09/21 09:35:12; 06/09/21 11:08:42; 5610;
06/09/21 13:30:00; 06/09/21 18:00:00; 16200;
08/09/21 13:30:00; 08/09/21 18:00:00; 16200; 
09/09/21 10:00:03; 09/09/21 11:12:47; 3944; 
09/09/21 14:12:22; 09/09/21 19:57:10; 20668; 
10/09/21 11:21:23; 10/09/21 12:18:36; 3433; 
13/09/21 09:27:59; 13/09/21 12:08:44; 9645; 
13/09/21 14:12:29; 13/09/21 18:25:10; 15161; 
13/09/21 21:06:55; 13/09/21 23:09:38; 7363; 
14/09/21 09:37:18; 14/09/21 11:56:50; 8372; 
14/09/21 14:30:54; 14/09/21 19:25:52; 17758; 
14/09/21 21:40:18; 14/09/21 23:28:55; 6500; 
15/09/21 11:39:54; 15/09/21 11:54:52; 898; 
15/09/21 14:28:49; 15/09/21 17:28:09; 10760; 
15/09/21 23:40:47; 16/09/21 00:43:43; 3776; 
16/09/21 09:37:22; 16/09/21 11:57:07; 8385; 
16/09/21 14:13:32; 16/09/21 18:36:16; 15764; 
16/09/21 19:01:15; 16/09/21 20:34:08; 5573; 
16/09/21 23:19:41; 17/09/21 00:27:12; 4051; 
17/09/21 13:35:05; 17/09/21 14:50:09; 4504; 
21/09/21 09:35:12; 21/09/21 12:24:34; 10163; 
21/09/21 13:00:57; 21/09/21 17:16:39; 15342; 
21/09/21 18:32:30; 21/09/21 20:00:03; 5253; 
22/09/21 10:00:43; 22/09/21 12:15:48; 7745; 
22/09/21 15:18:07; 22/09/21 18:20:56; 10969; 
22/09/21 23:40:27; 23/09/21 01:16:54; 5787; 
23/09/21 09:35:56; 23/09/21 11:56:13; 8417; 
23/09/21 13:18:17; 23/09/21 19:02:34; 20657; 
24/09/21 10:34:57; 24/09/21 11:16:56; 2519; 
24/09/21 13:05:29; 24/09/21 13:30:49; 1800; 
24/09/21 16:03:52; 24/09/21 18:18:20; 8068; 
27/09/21 13:51:45; 27/09/21 18:33:18; 16893; 
28/09/21 09:02:22; 28/09/21 12:18:18; 11756; 
28/09/21 14:17:29; 28/09/21 19:15:14; 17865; 
29/09/21 17:36:39; 29/09/21 18:27:04; 3025; 
30/09/21 08:01:01; 30/09/21 08:48:17; 2836; 
30/09/21 09:32:35; 30/09/21 12:23:43; 10268; 
30/09/21 14:11:08; 30/09/21 17:38:25; 12437; 
30/09/21 18:38:35; 30/09/21 19:38:42; 3600; 
01/10/21 10:38:35; 01/10/21 12:23:04; 6269; 
01/10/21 13:51:18; 01/10/21 21:22:50; 27000; 
04/10/21 09:00:47; 05/10/21 12:00:10; 10800; 
04/10/21 13:00:47; 05/10/21 17:00:10; 14400; 
05/10/21 10:38:47; 05/10/21 12:53:10; 8063; 
05/10/21 14:01:30; 05/10/21 19:13:05; 18695; 
06/10/21 09:15:47; 06/10/21 12:43:59; 12492; 
06/10/21 13:32:03; 06/10/21 17:36:48; 14685; 
07/10/21 09:39:50; 07/10/21 12:48:57; 11347; 
07/10/21 14:34:57; 07/10/21 19:52:13; 19036; 
08/10/21 09:00:58; 08/10/21 12:06:27; 11459; 
08/10/21 14:05:33; 08/10/21 17:48:16; 13363; 
11/10/21 10:30:53; 11/10/21 12:48:16; 8243; 
11/10/21 14:27:44; 11/10/21 18:22:31; 14087; 
11/10/21 19:18:20; 11/10/21 20:56:55; 5915; 
11/10/21 21:54:42; 11/10/21 23:29:39; 5697; 
12/10/21 10:04:21; 12/10/21 12:06:55; 7354; 
12/10/21 13:30:08; 12/10/21 16:07:32; 9444; 
13/10/21 08:50:09; 13/10/21 11:58:13; 11284; 
13/10/21 14:08:51; 13/10/21 17:12:57; 11046; 
14/10/21 09:03:46; 14/10/21 12:10:55; 11229; 
14/10/21 14:02:54; 14/10/21 17:49:38; 13604; 
15/10/21 09:10:37; 15/10/21 11:45:52; 9315; 
15/10/21 17:27:13; 15/10/21 20:51:42; 12269; 
